ID_AGENCY;Agency Name;Agency Type
AGG_000001;Anchorage;Municipal Police
AGG_000002;Fairbanks;Municipal Police
AGG_000003;Juneau;Municipal Police
AGG_000004;Wrangell;Municipal Police
AGG_000005;Bethel;Municipal Police
AGG_000006;North Slope Borough;County Police
AGG_000007;Dillingham;Municipal Police
AGG_000008;St. Paul;Municipal Police
AGG_000009;Alaska State Police;State Police
AGG_000010;Jefferson;Sheriff
AGG_000011;Bessemer;Municipal Police
AGG_000012;Birmingham;Municipal Police
AGG_000013;Fairfield;Municipal Police
AGG_000014;Tarrant City;Municipal Police
AGG_000015;Fultondale;Municipal Police
AGG_000016;Hoover;Municipal Police
AGG_000017;Irondale;Municipal Police
AGG_000018;Hueytown;Municipal Police
AGG_000019;Mobile;Sheriff
AGG_000020;Mobile;Municipal Police
AGG_000021;Prichard;Municipal Police
AGG_000022;Chickasaw;Municipal Police
AGG_000023;Montgomery;Municipal Police
AGG_000024;Prattville;Municipal Police
AGG_000025;Foley;Municipal Police
AGG_000026;Orange Beach;Municipal Police
AGG_000027;Blount;Sheriff
AGG_000028;Greenville;Municipal Police
AGG_000029;Calhoun;Sheriff
AGG_000030;Anniston;Municipal Police
AGG_000031;Jacksonville;Municipal Police
AGG_000032;Oxford;Municipal Police
AGG_000033;Ohatchee;Municipal Police
AGG_000034;Chambers;Sheriff
AGG_000035;Lafayette;Municipal Police
AGG_000036;Clanton;Municipal Police
AGG_000037;Thomasville;Municipal Police
AGG_000038;Sheffield;Municipal Police
AGG_000039;Evergreen;Municipal Police
AGG_000040;Coosa;Sheriff
AGG_000041;Florala;Municipal Police
AGG_000042;Cullman;Sheriff
AGG_000043;Dallas;Sheriff
AGG_000044;Selma;Municipal Police
AGG_000045;De Kalb;Sheriff
AGG_000046;Elmore;Sheriff
AGG_000047;Flomaton;Municipal Police
AGG_000048;Etowah;Sheriff
AGG_000049;Attalla;Municipal Police
AGG_000050;Gadsden;Municipal Police
AGG_000051;Franklin;Sheriff
AGG_000052;Greene;Sheriff
AGG_000053;Hale;Sheriff
AGG_000054;Dothan;Municipal Police
AGG_000055;Jackson;Sheriff
AGG_000056;Scottsboro;Municipal Police
AGG_000057;Lawrence;Sheriff
AGG_000058;Lee;Sheriff
AGG_000059;Auburn;Municipal Police
AGG_000060;Opelika;Municipal Police
AGG_000061;Athens;Municipal Police
AGG_000062;Lowndes;Sheriff
AGG_000063;Hayneville;Municipal Police
AGG_000064;Tuskegee;Municipal Police
AGG_000065;Madison;Sheriff
AGG_000066;Huntsville;Municipal Police
AGG_000067;Guntersville;Municipal Police
AGG_000068;Boaz;Municipal Police
AGG_000069;Morgan;Sheriff
AGG_000070;Decatur;Municipal Police
AGG_000071;Hartselle;Municipal Police
AGG_000072;Perry;Sheriff
AGG_000073;Aliceville;Municipal Police
AGG_000074;Roanoke;Municipal Police
AGG_000075;Phenix City;Municipal Police
AGG_000076;St. Clair;Sheriff
AGG_000077;Shelby;Sheriff
AGG_000078;Pelham;Municipal Police
AGG_000079;York;Municipal Police
AGG_000080;Talladega;Sheriff
AGG_000081;Talladega;Municipal Police
AGG_000082;Childersburg;Municipal Police
AGG_000083;Tuscaloosa;Sheriff
AGG_000084;Tuscaloosa;Municipal Police
AGG_000085;Northport;Municipal Police
AGG_000086;Jasper;Municipal Police
AGG_000087;Sumiton;Municipal Police
AGG_000088;Wilcox;Sheriff
AGG_000089;Stuttgart;Municipal Police
AGG_000090;Baxter;Sheriff
AGG_000091;Mountain Home;Municipal Police
AGG_000092;Gassville;Municipal Police
AGG_000093;Benton;Sheriff
AGG_000094;Lowell;Municipal Police
AGG_000095;Boone;Sheriff
AGG_000096;Warren;Municipal Police
AGG_000097;Clark;Sheriff
AGG_000098;Cleburne;Sheriff
AGG_000099;Craighead;Sheriff
AGG_000100;Jonesboro;Municipal Police
AGG_000101;Van Buren;Municipal Police
AGG_000102;West Memphis;Municipal Police
AGG_000103;Fordyce;Municipal Police
AGG_000104;Conway;Municipal Police
AGG_000105;Ozark;Municipal Police
AGG_000106;Garland;Sheriff
AGG_000107;Hot Springs;Municipal Police
AGG_000108;Hope;Municipal Police
AGG_000109;Nashville;Municipal Police
AGG_000110;Independence;Sheriff
AGG_000111;Newport;Municipal Police
AGG_000112;Pine Bluff;Municipal Police
AGG_000113;Marianna;Municipal Police
AGG_000114;Star City;Municipal Police
AGG_000115;Lonoke;Sheriff
AGG_000116;Miller;Sheriff
AGG_000117;Texarkana;Municipal Police
AGG_000118;Blytheville;Municipal Police
AGG_000119;Osceola;Municipal Police
AGG_000120;Ouachita;Sheriff
AGG_000121;West Helena;Municipal Police
AGG_000122;Pike;Sheriff
AGG_000123;Trumann;Municipal Police
AGG_000124;Polk;Sheriff
AGG_000125;Pope;Sheriff
AGG_000126;Russellville;Municipal Police
AGG_000127;Pulaski;Sheriff
AGG_000128;Little Rock;Municipal Police
AGG_000129;North Little Rock;Municipal Police
AGG_000130;Sherwood;Municipal Police
AGG_000131;Maumelle;Municipal Police
AGG_000132;St. Francis;Sheriff
AGG_000133;Saline;Sheriff
AGG_000134;Fort Smith;Municipal Police
AGG_000135;Sevier;Sheriff
AGG_000136;De Queen;Municipal Police
AGG_000137;Sharp;Sheriff
AGG_000138;Cherokee Village;Municipal Police
AGG_000139;Union;Sheriff
AGG_000140;El Dorado;Municipal Police
AGG_000141;Washington;Sheriff
AGG_000142;Springdale;Municipal Police
AGG_000143;White;Sheriff
AGG_000144;Searcy;Municipal Police
AGG_000145;Augusta;Municipal Police
AGG_000146;Sierra Vista;Municipal Police
AGG_000147;Flagstaff;Municipal Police
AGG_000148;Gila;Sheriff
AGG_000149;Payson;Municipal Police
AGG_000150;Thatcher;Municipal Police
AGG_000151;Maricopa;Sheriff
AGG_000152;Chandler;Municipal Police
AGG_000153;El Mirage;Municipal Police
AGG_000154;Gilbert;Municipal Police
AGG_000155;Glendale;Municipal Police
AGG_000156;Mesa;Municipal Police
AGG_000157;Peoria;Municipal Police
AGG_000158;Phoenix;Municipal Police
AGG_000159;Scottsdale;Municipal Police
AGG_000160;Tempe;Municipal Police
AGG_000161;Youngtown;Municipal Police
AGG_000162;Mohave;Sheriff
AGG_000163;Kingman;Municipal Police
AGG_000164;Lake Havasu City;Municipal Police
AGG_000165;Bullhead City;Municipal Police
AGG_000166;Navajo;Sheriff
AGG_000167;Winslow;Municipal Police
AGG_000168;Pima;Sheriff
AGG_000169;South Tucson;Municipal Police
AGG_000170;Tucson;Municipal Police
AGG_000171;Oro Valley;Municipal Police
AGG_000172;Marana;Municipal Police
AGG_000173;Pinal;Sheriff
AGG_000174;Casa Grande;Municipal Police
AGG_000175;Coolidge;Municipal Police
AGG_000176;Florence;Municipal Police
AGG_000177;Yavapai;Sheriff
AGG_000178;Prescott;Municipal Police
AGG_000179;Prescott Valley;Municipal Police
AGG_000180;Yuma;Sheriff
AGG_000181;Yuma;Municipal Police
AGG_000182;Alameda;Sheriff
AGG_000183;Alameda;Municipal Police
AGG_000184;Berkeley;Municipal Police
AGG_000185;Emeryville;Municipal Police
AGG_000186;Fremont;Municipal Police
AGG_000187;Hayward;Municipal Police
AGG_000188;Livermore;Municipal Police
AGG_000189;Newark;Municipal Police
AGG_000190;Oakland;Municipal Police
AGG_000191;San Leandro;Municipal Police
AGG_000192;Union City;Municipal Police
AGG_000193;Amador;Sheriff
AGG_000194;Ione;Municipal Police
AGG_000195;Butte;Sheriff
AGG_000196;Chico;Municipal Police
AGG_000197;Oroville;Municipal Police
AGG_000198;Calaveras;Sheriff
AGG_000199;Contra Costa;Sheriff
AGG_000200;Antioch;Municipal Police
AGG_000201;Brentwood;Municipal Police
